Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2019-02-10T06:48:42.107Z, quads, r, 98.94654, 164.29608, 8.3
2019-02-10T06:48:25.009Z, lower_back, l, 98.59887, 150.52756, 9
2019-02-10T06:48:07.819Z, lower_back, r, 99.6151, 161.07182, 7.7
2019-02-10T06:47:36.991Z, hamstrings, l, 99.4737, 160.30206, 8.8
2019-02-10T06:47:06.083Z, hamstrings, r, 99.548676, 161.42996, 8.5
2019-02-10T06:46:48.616Z, glutes, l, 95.05713, 131.69275, 13.1
2019-02-10T06:45:47.869Z, glutes, r, 98.50753, 141.37814, 10.8
2019-02-10T06:45:02.553Z, forearms, l, 81.04168, 124.33885, 11.6
2019-02-10T06:44:45.003Z, forearms, r, 93.05657, 129.07138, 9.6
2019-02-10T06:44:29.971Z, chest, l, 99.28794, 166.10246, 8.8
2019-02-10T06:44:02.565Z, chest, r, 99.39249, 167.67651, 8.5
2019-02-10T06:43:20.230Z, calves, l, 97.764244, 138.01382, 10.4
2019-02-10T06:42:44.273Z, calves, r, 98.507355, 139.81378, 8.7
2019-02-10T06:42:24.333Z, biceps, l, 91.3779, 135.81299, 10.4
2019-02-10T06:42:09.806Z, biceps, r, 96.05397, 139.95538, 9.8
2019-02-10T06:41:53.517Z, abs, l, 97.8385, 160.35028, 8.1
2019-02-10T06:41:36.508Z, abs, r, 98.74015, 167.11058, 7.3
2019-02-03T07:05:57.454Z, total, r, 99.64573, 165.74135, 8.7
2019-02-03T07:05:51.315Z, upper_back, l, 99.02635, 156.37744, 7.6
2019-02-03T07:05:27.727Z, upper_back, r, 97.13697, 150.45435, 9
2019-02-03T07:04:47.183Z, triceps, l, 98.16596, 156.76567, 9.4
2019-02-03T07:04:26.212Z, triceps, r, 99.0376, 161.77138, 8.7
2019-02-03T07:04:08.402Z, shoulders, l, 99.00331, 152.91853, 8.6
2019-02-03T07:03:54.176Z, shoulders, r, 97.912315, 148.12012, 10.6
2019-02-03T07:03:37.035Z, quads, l, 98.129906, 158.64261, 10.2
2019-02-03T07:02:59.639Z, quads, r, 99.2532, 167.63882, 7.8
2019-02-03T07:02:42.809Z, lower_back, l, 99.51376, 159.1817, 8.2
2019-02-03T07:02:20.131Z, lower_back, r, 99.611305, 160.99254, 7.9
2019-02-03T07:01:48.812Z, hamstrings, l, 99.42235, 159.61758, 8.4
2019-02-03T07:01:35.441Z, hamstrings, r, 99.598236, 162.28238, 8
2019-02-03T07:01:17.756Z, glutes, l, 98.53177, 141.50568, 10.7
2019-02-03T07:01:01.648Z, glutes, r, 99.17092, 145.91528, 10.1
2019-02-03T07:00:42.979Z, forearms, l, 82.47971, 124.810074, 9.5
2019-02-03T07:00:27.273Z, forearms, r, 95.04236, 130.35579, 8.7
2019-02-03T07:00:10.213Z, chest, l, 99.60465, 171.91772, 8.1
2019-02-03T06:58:36.438Z, chest, r, 98.9618, 162.34464, 9.1
2019-02-03T06:58:10.423Z, calves, l, 97.71944, 137.92445, 9.4
2019-02-03T06:57:45.946Z, calves, r, 99.62177, 145.76945, 7.4
2019-02-03T06:57:25.877Z, biceps, l, 95.214714, 138.98163, 10.3
2019-02-03T06:57:09.992Z, biceps, r, 96.094955, 140.00748, 9.9
2019-02-03T06:56:51.989Z, abs, l, 96.69532, 154.88771, 9.5
2019-02-03T06:56:02.677Z, abs, r, 98.80972, 167.81384, 7.2
2019-01-27T07:46:26.800Z, total, r, 99.51815, 163.25502, 7.9
2019-01-27T07:46:25.099Z, upper_back, l, 98.786224, 155.18771, 8.3
2019-01-27T07:46:00.620Z, upper_back, r, 98.49771, 154.02896, 8.1
2019-01-27T07:45:12.824Z, triceps, l, 98.95818, 161.16144, 9.1
2019-01-27T07:44:42.094Z, triceps, r, 97.92894, 155.8074, 9.5
2019-01-27T07:44:23.280Z, shoulders, l, 98.9262, 152.4404, 9.4
