Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2018-04-01T06:48:10.533Z, glutes, r, 99.803085, 156.8169, 8.8
2018-04-01T06:47:53.066Z, forearms, l, 87.7015, 126.63903, 11.2
2018-04-01T06:47:35.473Z, forearms, r, 95.85375, 131.01105, 9.9
2018-04-01T06:47:12.785Z, chest, l, 99.56661, 171.01248, 8.5
2018-04-01T06:44:47.616Z, chest, r, 99.62515, 172.44177, 7.9
2018-04-01T06:43:47.635Z, calves, l, 98.844604, 140.9393, 9
2018-04-01T06:43:25.231Z, calves, r, 98.16261, 138.89243, 10.3
2018-04-01T06:43:07.858Z, biceps, l, 93.35616, 137.26099, 10.8
2018-04-01T06:42:51.347Z, biceps, r, 96.638084, 140.7486, 10.5
2018-04-01T06:42:33.029Z, abs, l, 99.26907, 173.80661, 6.6
2018-04-01T06:41:47.487Z, abs, r, 99.294106, 174.23235, 6.9
2018-03-25T07:32:03.333Z, total, r, 99.72145, 167.68048, 8
2018-03-25T07:32:00.304Z, upper_back, l, 99.42413, 159.18788, 7.7
2018-03-25T07:31:07.080Z, upper_back, r, 99.253, 157.79898, 8
2018-03-25T07:30:34.321Z, triceps, l, 98.3396, 157.54568, 10.6
2018-03-25T07:30:13.258Z, triceps, r, 98.9484, 161.08945, 9.1
2018-03-25T07:29:45.495Z, shoulders, l, 99.53738, 157.8006, 8.8
2018-03-25T07:29:27.584Z, shoulders, r, 99.71059, 160.7594, 8.7
2018-03-25T07:29:08.238Z, quads, l, 98.208244, 159.06862, 10
2018-03-25T07:28:52.306Z, quads, r, 98.28485, 159.50275, 8.8
2018-03-25T07:28:32.687Z, lower_back, l, 99.75346, 164.66348, 7.5
2018-03-25T07:28:15.900Z, lower_back, r, 99.902435, 172.1094, 7.1
2018-03-25T07:27:56.687Z, hamstrings, l, 99.88686, 171.5227, 7.3
2018-03-25T07:27:38.370Z, hamstrings, r, 99.60579, 162.42139, 8.6
2018-03-25T07:27:18.438Z, glutes, l, 99.83249, 158.0354, 9
2018-03-25T07:26:58.462Z, glutes, r, 99.801384, 156.7521, 9.3
2018-03-25T07:26:36.005Z, forearms, l, 85.18895, 125.72585, 11.1
2018-03-25T07:26:19.403Z, forearms, r, 95.104744, 130.40273, 10
2018-03-25T07:25:53.795Z, chest, l, 99.46279, 168.89304, 8.3
2018-03-25T07:25:27.472Z, chest, r, 99.482994, 169.27182, 8.4
2018-03-25T07:25:06.099Z, calves, l, 99.14854, 142.26968, 9
2018-03-25T07:24:42.651Z, calves, r, 99.4161, 143.90186, 8.7
2018-03-25T07:24:23.211Z, biceps, l, 95.54558, 139.34613, 10.9
2018-03-25T07:24:02.281Z, biceps, r, 95.37953, 139.16037, 10.8
2018-03-25T07:23:42.849Z, abs, l, 98.9869, 169.80252, 7.3
2018-03-25T07:23:16.474Z, abs, r, 99.64093, 182.44923, 6
2018-03-11T07:24:28.568Z, total, r, 99.75816, 168.81856, 7.4
2018-03-11T07:24:22.419Z, upper_back, l, 99.55461, 160.55411, 7.2
2018-03-11T07:23:49.571Z, upper_back, r, 99.32964, 158.37758, 7.7
2018-03-11T07:23:03.033Z, triceps, l, 98.295815, 157.34189, 11.5
2018-03-11T07:22:47.621Z, triceps, r, 99.204056, 163.22757, 8.6
2018-03-11T07:22:06.783Z, shoulders, l, 98.41827, 149.93756, 10.5
2018-03-11T07:21:45.748Z, shoulders, r, 99.55329, 158.02191, 8.8
